IRIG_TIME,Delta_Irig,AMB_AIR_TEMP,AMB_AIR_TEMP_C,EVENT,LEFT_FUEL_FLOW,FF1LE_ANA1,RIGHT_FUEL_FLOW,FF1RE_ANA1,LEFT_AB_FUEL_FLOW,FF2LE_ANA1,RIGHT_AB_FUEL_FLOW,FF2RE_ANA1,GPS_DAYS,GPS_HOURS,GPS_MINUTES,GPS_SECONDS,GPS_MICROSECONDS,GPS_ALTITUDE,GPS_P_ALTM,GPS_P_ALTS,GPS_LAT_DIRECT,GPS_LAT_DEG,GPS_LAT_MIN,GPS_LONG_DIRECT,GPS_LONG_DEG,GPS_LONG_MIN,GPS_SPEED,ADC_PRESSURE_ALTITUDE,ADC_MACH,ADC_COMPUTED_AIRSPEED,ADC_TRUE_AIRSPEED,ADC_TOTAL_AIR_TEMP,ADC_AMBIENT_AIR_TEMP,ADC_STATIC_PRESSURE,ADC_AOA_UNCORRECTED,ADC_AOA_NORMALIZED,ADC_AOA_CORRECTED,ADC_STATIC_PR_UNCORRECTED,EED_LEFT_FUEL_QTY,EED_LEFT_ENGINE_OIL_PRESSURE,EED_LEFT_ENGINE_RPM,EED_LEFT_ENGINE_EGT,EED_LEFT_ENGINE_NOZZLE_POS,EED_LEFT_ENGINE_FUEL_FLOW,EED_RIGHT_FUEL_QTY,EED_RIGHT_ENGINE_OIL_PRESSURE,EED_RIGHT_ENGINE_RPM,EED_RIGHT_ENGINE_EGT,EED_RIGHT_ENGINE_NOZZLE_POS,EED_RIGHT_ENGINE_FUEL_FLOW,ADC_FLAP_POS,ADC_LANDING_GEAR_POS,EGI_VE,EGI_VN,EGI_VZ,EGI_ALTITUDE,EGI_RADAR_ALTITUDE,EGI_ROLL_ANGLE,EGI_PITCH_ANGLE,EGI_TRUE_HEADING,EGI_MAGNETIC_HEADING,EGI_ACCEL_X,EGI_ACCEL_Y,EGI_ACCEL_Z,EGI_ROLL_RATE_P,EGI_PITCH_RATE_Q,EGI_YAW_RATE_R,PITCH_RATE_Q,ROLL_RATE_P,YAW_RATE_R,NY_LATERAL_ACCEL,NX_LONG_ACCEL,NZ_NORMAL_ACCEL,RAIL_POS,LAT_SP,LON_SP,STAB_POS,SPEED_BRK_POS,RUD_PED_POS,RUDDER_POS,LT_RUD_PED_FORC,LT_RUD_PED_FORCE_X,LT_RUD_PED_FORCE_Z,RT_RUD_PED_FORC,RT_RUD_PED_FORCE_X,RT_RUD_PED_FORCE_Z,STATIC_PRESSURE,TOTAL_PRESSURE,TAT_DEGC,TAT_DEGF,P_A,PLA_LEFT,PLA_RIGHT,LEFT_FUEL_TEMP_C,LEFT_FUEL_TEMP_F,RIGHT_FUEL_TEMP_C,RIGHT_FUEL_TEMP_F,PARO1_TEMP,PARO1_TEMP_K,PARO2_TEMP,PARO2_TEMP_K,LEFT_ENGINE_RPM_N1,RIGHT_ENGINE_RPM_N1,PRESS_ALT_IC,ADC_AIR_GND_WOW,LT_GEAR_WOW,NOSE_WOW,RT_GEAR_WOW,AIRSPEED_IC,AIRSPEED_TIC,MACH_IC,AOA,AOSS
234:15:35:50.700000,709.2,255.33614696362719,-17.81385304,2,0.001929473,50.003394663588786,0.001925817,49.99999999999995,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,50.689999999999998,7338,34054.790026246679,10379.9,0,1,35,10.816490000000002,1,117,13.075959999999997,385.04000000000002,32062,0.70806250000000004,254.25,423.625,-14,-37.5,8.0820271120000005,1.186523424,0.287109375,1.186523424,277.4375,1440.75,28.59375,94.1875,436,21.78125,752,1514.75,30.09375,93.875,422,19.59375,788,-0.175781248,0,-649.0348485,36.85433493,1.9989460049999999,34048,0,-0.098876952,4.5758056119999999,-89.97802632,-103.2550037,0.25,0,31.65625,0.043945312,-0.153808592,-0.021972656,-3.396636244,15.06947517500214,-0.250996857,0.17620672764231493,0.10691076966633339,1.0506851138853772,1.3213983893228232,20.081449168982562,14.994970471264981,-2.085417824,0.24688946461472394,-0.129204143,0.1395858150463738,128.80763793807355,125.15939604265297,-30.43900743,43.762110542344885,7.4036393323860699,43.131293091633125,8.1877899169921875,11.28338623046875,6.6866020312238561,44.035883656202941,11.28338623046875,58.678562674655154,58.431094162595173,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.173280772070456,93.95711795849914,31782.158622154457,0,0,0,0,249.8237089930704,451.51774625052354,0.69265333141375962,4.7512545750966098,-0.226512535
234:15:35:50.900000,709.4,255.33254156974337,-17.81745843,2,0.001929473,49.99999999999995,0.001925817,50.003394663588786,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,50.889999999999993,8499,34055.446194225689,10380.1,0,1,35,10.81799,1,117,13.108239999999999,385.01999999999998,32062.5,0.70806250000000004,254.25,423.625,-14,-37.5,8.0820271120000005,1.186523424,0.287109375,1.186523424,277.4375,1440.75,28.6875,94.1875,436,21.78125,752,1515,30.09375,93.875,422,19.59375,782,-0.175781248,0,-649.0253898,36.893718289999995,1.973510439,34048,0,-0.093383788,4.5483397920000002,-89.98351948,-103.26599,0.03125,0.03125,32.15625,0,-0.10986328,-0.065917968,-4.014439879,7.0236326390667045,3.5087914586958959,0.18185799099246047,0.10478416620302689,1.0503347030779793,1.3784174045420983,20.038190307423452,14.997500856731637,-2.085417824,0.24688946461472394,-0.129204143,0.13169716192344083,128.80796372517193,125.15939604265297,-30.44038602,43.762110542344885,7.4036393323860699,43.131293091633125,8.1877899169921875,11.28338623046875,6.6826506863577748,44.028771235443998,11.28338623046875,58.683191639173231,58.426485776416499,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.201225181502267,94.019573000579172,31782.158622154457,0,0,0,0,249.8237089930704,451.5145584819943,0.69265333141375962,4.7411887342657693,-0.200762942
234:15:35:51.100000,709.6,255.33836250846051,-17.81163749,2,0.001929473,49.99999999999995,0.001925817,50.003394663588786,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,51.089999999999996,9661,34055.446194225689,10380.1,0,1,35,10.81799,1,117,13.108239999999999,385.01999999999998,32062.5,0.7079375,254.25,423.5625,-14,-37.5,8.0820271120000005,1.186523424,0.287109375,1.186523424,277.4375,1440.75,28.6875,94.1875,436,21.78125,752,1515,30.09375,94,422,19.59375,784,-0.175781248,0,-649.0145886,36.937819571999995,1.9268175439999999,34048,0,-0.126342772,4.5208739720000004,-89.98901265,-103.2714832,0.34375,0.15625,31.65625,-0.241699216,-0.10986328,0,-2.189110958,9.5723156784002867,1.5413718641588332,0.18079837911430729,0.10691076966633339,1.0394719680486411,1.3798794305733608,20.042665362067499,14.991596623976111,-2.082245513,0.24688946461472394,-0.129204143,0.13366932520418118,128.80959291367029,125.15939604265297,-30.44727917,43.761733796494021,7.4014121030278739,43.131293091633125,8.1877899169921875,11.282485961914063,6.6826506863577748,44.028771235443998,11.282485961914063,58.678562674655154,58.426485776416499,-52.52454865,-62.54418758,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.217378400659527,94.013385629861673,31782.158622154457,0,0,0,0,249.7886211027693,451.45577201484861,0.69256314906737548,4.7411887342657693,-0.201458877
234:15:35:51.300000,709.8,255.3372863051431,-17.81271369,2,0.001929473,50.003394663588786,0.001925817,50.003394663588786,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,51.289999999999999,7679,34055.774278215191,10380.200000000001,0,1,35,10.819519999999999,1,117,13.141029999999997,385.02999999999997,32063,0.7079375,254.1875,423.5625,-14,-37.5,8.0810505500000005,1.142578112,0.287109375,1.142578112,277.4375,1440.5,28.6875,94.1875,436,21.78125,752,1515,30.09375,94,422,19.59375,784,-0.175781248,0,-649.0022617,36.955203783999998,1.8588043889999999,34048,0,-0.197753904,4.4989013160000004,-89.98901265,-103.2714832,0.03125,-0.15625,31.5,-0.373535152,-0.087890624,-0.043945312,-4.879364968,10.122031628060427,3.4098496609048539,0.17302789200785718,0.10265756273972215,1.0377199140116495,1.3696452483545158,20.050123786474241,14.992440085798329,-2.083831669,0.24688946461472394,-0.129204143,0.15339095801151359,128.80959291367029,125.15939604265297,-30.44727917,43.760980589801711,7.3969573761542433,43.131293091633125,8.1873931884765625,11.280990600585937,6.6747479966256122,44.014546393926103,11.280990600585937,58.678562674655154,58.426485776416499,-52.52454865,-62.54418758,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.227321597002828,94.001013331227711,31783.20646893758,0,0,0,0,249.74579437769066,451.38743530157103,0.69246809399428189,4.7294452532964577,-0.209114161
234:15:35:51.500000,710,255.33007517973277,-17.81992482,2,0.001929473,49.99999999999995,0.001925817,49.99999999999995,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,51.489999999999995,8840,34056.430446194187,10380.4,0,1,35,10.821029999999999,1,117,13.173299999999998,385.02999999999997,32063,0.70774999999999999,254.1875,423.5,-14,-37.5,8.0810505500000005,1.142578112,0.28515625,1.142578112,277.4375,1440.25,28.6875,94.1875,436,21.78125,752,1514.75,30.09375,94,422,19.59375,786,-0.175781248,0,-648.9981121,36.978747605999999,1.733245602,34048,0,-0.280151364,4.487914988,-89.98901265,-103.2714832,0,-0.03125,31.6875,-0.32958984,-0.043945312,0.065917967999999993,-3.458416608,8.3229612473544421,3.0140824697407425,0.17867915535800272,0.10832850530853655,1.0310621086710885,1.3477148578855633,20.060565580643679,14.992440085798329,-2.085417824,0.24688946461472394,-0.128912872,0.15141879473078745,128.80959291367029,125.15939604265297,-30.44727917,43.761733796494021,7.4014121030278739,43.131293091633125,8.1873931884765625,11.280990600585937,6.6668453068934639,44.000321552408238,11.280990600585937,58.67393366465484,58.426485776416499,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.185698462512192,93.926230316578454,31783.20646893758,0,0,0,0,249.74579437769066,451.38106131202636,0.69246809399428189,4.7328005335734034,-0.208418226
234:15:35:51.700000,710.2,255.33052415426636,-17.81947585,2,0.001929473,49.99999999999995,0.001925817,49.99999999999995,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,51.689999999999998,6858,34056.758530183688,10380.5,0,1,35,10.822560000000001,1,117,13.20609,385.01999999999998,32063.5,0.70781250000000007,254.125,423.5,-14,-37.5,8.0810505500000005,1.142578112,0.28515625,1.142578112,277.4375,1440.25,28.6875,94.1875,436,21.78125,752,1514.75,30.09375,94,422,19.59375,788,-0.175781248,0,-648.9987223,36.98779441,1.639949441,34048,0,-0.35705566,4.4769286600000004,-89.98901265,-103.2714832,0,0.125,31.40625,-0.395507808,0,0.021972656,-3.200062361,12.670714667394122,-0.821814922,0.18150478703307549,0.10442973229247698,1.0335149843228741,1.3389427016979809,20.063548950406375,14.990753162153894,-2.085417824,0.24688946461472394,-0.129204143,0.15339095801151359,128.80991880197396,125.15939604265297,-30.44865784,43.761357145641185,7.3991847842854446,43.131293091633125,8.187194824,11.28009033203125,6.6628939620273826,43.993209131649287,11.28009033203125,58.678562674655154,58.431094162595173,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.163969652826751,93.978751397934346,31783.730407746949,0,0,0,0,249.71842848060342,451.33691891075853,0.69240526351339782,4.7328005335734034,-0.209114161
234:15:35:51.900000,710.4,255.3248019511951,-17.82519805,2,0.001929473,49.99999999999995,0.001925817,50.003394663588786,0.001999175,50.003394663588786,0.002172691,50.016973317944142,234,15,35,51.889999999999993,8020,34057.414698162698,10380.700000000001,0,1,35,10.824069999999999,1,117,13.238359999999997,385.01999999999998,32064,0.70781250000000007,254.1875,423.5,-14,-37.5,8.0810505500000005,1.0986328000000001,0.28515625,1.0986328000000001,277.4375,1440.5,28.6875,94.1875,436,21.78125,752,1515,30.09375,94,422,19.59375,790,-0.175781248,0,-648.9993326,36.989773880000001,1.503009678,34048,0,-0.401000972,4.4769286600000004,-89.98901265,-103.2714832,0.15625,-0.09375,31.4375,-0.175781248,0.043945312,-0.065917968,-0.414329607,8.7477417539099633,3.5164023662182728,0.18079837911430729,0.10620190184523004,1.034215806,1.3330945975729307,20.069515689931773,14.992440085798329,-2.085417824,0.24688946461472394,-0.129204143,0.15339095801151359,128.80991880197396,125.15939604265297,-30.44865784,43.761357145641185,7.3991847842854446,43.131293091633125,8.1869964599609375,11.279586791992188,6.654991272,43.978984290131393,11.279586791992188,58.67393366465484,58.431094162595173,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.339996337890625,300.4899963378906,94.177626591249194,93.970714957605111,31784.254356835459,0,0,0,0,249.70652919939727,451.31550360368914,0.69238218731237566,4.7311228934349288,-0.22024912
234:15:35:52.100000,710.6,255.32119631020637,-17.82880369,2,0.001929473,50.003394663588786,0.001925817,49.99999999999995,0.001999175,50.003394663588786,0.002172691,50.020367981532978,234,15,35,52.089999999999996,9181,34057.414698162698,10380.700000000001,0,1,35,10.824069999999999,1,117,13.238359999999997,385.01999999999998,32064,0.70781250000000007,254.1875,423.5,-14,-37.5,8.0810505500000005,1.0986328000000001,0.283203125,1.0986328000000001,277.4375,1440.25,28.6875,94.1875,436,21.78125,752,1515,30.09375,94,422,19.59375,782,-0.175781248,0,-649.0009802,36.986207790000002,1.4285794679999999,34048,0,-0.43945312,4.4824218240000002,-89.98901265,-103.2714832,-0.0625,0.15625,31.84375,-0.131835936,0.021972656,0.021972656,-2.587875122,5.6243556762952949,2.869475226815382,0.17938556327677091,0.10513860011357856,1.0366686815894557,1.3257844674166108,20.07399074457582,15.000874704020507,-2.088590136,0.24688946461472394,-0.129495413,0.15339095801151359,128.80926704223512,125.15939604265297,-30.44590052,43.761733796494021,7.4014121030278739,43.131293091633125,8.1869964599609375,11.279586791992188,6.6510399274291387,43.97187186937245,11.279586791992188,58.678562674655154,58.431094162595173,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.339996337890625,300.4899963378906,94.217378400659527,93.895362976108316,31784.254356835459,0,0,0,0,249.70652919939727,451.31231690304111,0.69238218731237566,4.7294452532964577,-0.196587332
234:15:35:52.300000,710.8,255.31714290736102,-17.83285709,2,0.001929473,49.99999999999995,0.001925817,49.99999999999995,0.001999175,49.99999999999995,0.002172692,50.016973317944142,234,15,35,52.289999999999999,7199,34057.742782152192,10380.799999999999,0,1,35,10.8256,1,117,13.271139999999997,385.02999999999997,32064.5,0.70787500000000003,254.125,423.5,-14,-37.5,8.0810505500000005,1.0986328000000001,0.283203125,1.0986328000000001,277.4375,1440,28.6875,94.1875,436,21.78125,752,1514.75,30.09375,94,422,19.59375,788,-0.175781248,0,-649.0043976,36.978812443999999,1.340844119,34048,0,-0.461425776,4.487914988,-89.99999898,-103.2824695,-0.0625,-0.09375,31.0625,-0.197753904,0.021972656,-0.043945312,-1.531992546,12.07102454049209,4.3345749248748859,0.18185799099246047,0.10442973229247698,1.0387711464338452,1.3243224413853483,20.075482429457171,15.016057016820433,-2.088590136,0.24688946461472394,-0.129204143,0.15339095801151359,128.80828952913689,125.15939604265297,-30.44176463,43.761357145641185,7.3991847842854446,43.131293091633125,8.1869964599609375,11.279098510742188,6.6431372376969762,43.957647027854556,11.279098510742188,58.678562674655154,58.431094162595173,-52.53219926,-62.55795866,-62.24066597,-80.03319875,28.85998535,302.00998535156248,27.35998535,300.50998535156248,94.189424408254766,93.923760182512709,31784.254356835459,0,0,0,0,249.68748900649911,451.27404182289342,0.69233324466545387,4.7311228934349288,-0.208418226
234:15:35:52.500000,711,255.31398670179945,-17.8360133,2,0.001929473,49.99999999999995,0.001925817,50.003394663588786,0.001999175,49.99999999999995,0.002172691,50.020367981532978,234,15,35,52.489999999999995,8360,34058.070866141694,10380.9,0,1,35,10.827109999999999,1,117,13.30341,385.00999999999999,32065,0.70768750000000002,254.125,423.5,-14,-37.5,8.0810505500000005,1.0986328000000001,0.283203125,1.0986328000000001,277.4375,1440,28.78125,94.1875,436,21.78125,752,1514.5,30.09375,94,422,19.59375,784,-0.175781248,0,-649.000431,36.969513911999996,1.2705234939999999,34048,0,-0.477905268,4.5043944800000002,-90.00549214,-103.2879627,0.0625,-0.0625,31.6875,-0.065917968,0.087890624000000001,-0.021972656,0.085529698,11.621256945315508,1.3472937223379517,0.17620672764231493,0.10513860011357856,1.0408736112782329,1.315550285197773,20.084432538745258,15.018587402287086,-2.091762447,0.24688946461472394,-0.128912872,0.13564148848490731,128.80828952913689,125.15939604265297,-30.44176463,43.762864318979396,7.4080935229679934,43.131293091633125,8.186798095703125,11.27819824,6.6352345479648278,43.94342218633669,11.27819824,58.67393366465484,58.431094162595173,-52.52837394,-62.55107309,-62.24066597,-80.03319875,28.829986572265625,301.9799865722656,27.35998535,300.50998535156248,94.218621185440199,93.97751493,31784.778316203581,0,0,0,0,249.66011583275184,451.22669978285194,0.6922703902767543,4.7328005335734034,-0.207026356
